timestamp,current_cpu,avg_cpu,trend,action,reason,desired_count_before,desired_count_after
2026-07-27T11:32:38.882637+00:00,36.93,32.7,RISING,NO_CHANGE,Ortalama CPU (32.7) normal aralikta,1,1
2026-07-27T11:33:10.565471+00:00,53.88,38.11,RISING,NO_CHANGE,Ortalama CPU (38.1) normal aralikta,1,1
2026-07-27T11:33:42.154429+00:00,53.88,42.61,RISING,NO_CHANGE,Ortalama CPU (42.6) normal aralikta,1,1
2026-07-27T11:34:13.784526+00:00,71.15,50.55,RISING,NO_CHANGE,Ortalama CPU (50.6) normal aralikta,1,1
2026-07-27T11:34:45.395444+00:00,64.1,55.99,RISING,NO_CHANGE,Ortalama CPU (56.0) normal aralikta,1,1
2026-07-27T11:35:17.090757+00:00,70.74,62.75,RISING,NO_CHANGE,Ortalama CPU (62.8) normal aralikta,1,1
2026-07-27T11:35:49.065113+00:00,60.75,64.13,RISING,NO_CHANGE,Ortalama CPU (64.1) normal aralikta,1,1
2026-07-27T11:36:21.260937+00:00,61.91,65.73,RISING,NO_CHANGE,Ortalama CPU (65.7) normal aralikta,1,1
2026-07-27T11:36:53.092227+00:00,46.81,60.86,RISING,NO_CHANGE,Ortalama CPU (60.9) normal aralikta,1,1
2026-07-27T11:37:26.168743+00:00,39.22,55.89,STABLE,NO_CHANGE,Ortalama CPU (55.9) normal aralikta,1,1
2026-07-27T11:37:58.103440+00:00,30.83,47.91,FALLING,NO_CHANGE,Ortalama CPU (47.9) normal aralikta,1,1
2026-07-27T11:38:29.741552+00:00,22.18,40.19,FALLING,NO_CHANGE,Ortalama CPU (40.2) normal aralikta,1,1
2026-07-27T11:39:01.290807+00:00,18.05,31.42,FALLING,NO_CHANGE,Ortalama CPU (31.4) normal aralikta,1,1
2026-07-27T11:39:32.921625+00:00,10.06,24.07,FALLING,NO_CHANGE,Ortalama CPU (24.1) normal aralikta,1,1
2026-07-27T11:40:05.088086+00:00,1.47,16.52,FALLING,SCALE_DOWN,Ortalama CPU (16.5) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-27T11:40:36.753045+00:00,1.47,10.65,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",1,1
2026-07-27T11:41:09.736158+00:00,1.24,6.46,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",1,1
2026-07-27T11:41:41.435954+00:00,1.24,3.1,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 83sn",1,1
2026-07-27T11:42:13.031259+00:00,1.09,1.3,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 51sn",1,1
2026-07-27T11:42:44.653584+00:00,1.03,1.21,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 20sn",1,1
2026-07-27T11:43:16.900248+00:00,0.87,1.09,FALLING,SCALE_DOWN,Ortalama CPU (1.1) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-27T11:43:48.569009+00:00,0.84,1.01,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",1,1
2026-07-27T11:44:20.328731+00:00,0.6,0.89,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",1,1
2026-07-27T11:44:52.009669+00:00,0.6,0.79,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",1,1
2026-07-27T11:45:23.817667+00:00,0.6,0.7,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 53sn",1,1
2026-07-27T11:45:56.824751+00:00,0.6,0.64,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 21sn",1,1
2026-07-27T11:46:35.605283+00:00,0.59,0.6,FALLING,SCALE_DOWN,Ortalama CPU (0.6) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-27T11:47:07.349079+00:00,0.59,0.6,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 144sn",1,1
2026-07-27T11:47:39.084645+00:00,0.59,0.6,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 113sn",1,1
2026-07-27T11:48:10.859829+00:00,0.59,0.59,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 81sn",1,1
2026-07-27T11:48:42.772680+00:00,0.59,0.59,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 49sn",1,1
2026-07-27T11:49:14.683430+00:00,0.59,0.59,STABLE,NO_CHANGE,"Cooldown aktif, kalan sure: 17sn",1,1
2026-07-27T11:49:47.264743+00:00,0.59,0.59,STABLE,SCALE_DOWN,Ortalama CPU (0.6) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-27T11:50:18.960173+00:00,0.59,0.59,STABLE,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",1,1
2026-07-27T11:52:43.325227+00:00,0.59,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T11:53:14.906575+00:00,0.59,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-27T11:53:47.206543+00:00,0.59,0.59,INSUFFICIENT_DATA,SCALE_DOWN,Ortalama CPU (0.6) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-27T11:54:18.823165+00:00,0.59,0.59,STABLE,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",1,1
2026-07-27T11:54:50.684242+00:00,1.08,0.75,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",1,1
2026-07-27T11:55:22.257970+00:00,1.2,0.96,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",1,1
2026-07-27T11:55:54.074741+00:00,1.65,1.31,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 53sn",1,1
2026-07-27T11:56:25.806426+00:00,1.91,1.59,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 21sn",1,1
2026-07-27T11:56:57.581273+00:00,2.14,1.9,RISING,NO_CHANGE,Ortalama CPU (1.9) normal aralikta,1,1
2026-07-27T11:57:29.253346+00:00,2.52,2.19,RISING,NO_CHANGE,Ortalama CPU (2.2) normal aralikta,1,1
2026-07-27T11:58:00.902075+00:00,7.88,4.18,RISING,NO_CHANGE,Ortalama CPU (4.2) normal aralikta,1,1
2026-07-27T11:58:32.485042+00:00,9.69,6.7,RISING,NO_CHANGE,Ortalama CPU (6.7) normal aralikta,1,1
2026-07-27T11:59:04.193098+00:00,14.11,10.56,RISING,NO_CHANGE,Ortalama CPU (10.6) normal aralikta,1,1
2026-07-27T11:59:35.699680+00:00,14.11,12.64,RISING,NO_CHANGE,Ortalama CPU (12.6) normal aralikta,1,1
2026-07-27T12:00:07.199829+00:00,21.02,16.41,RISING,NO_CHANGE,Ortalama CPU (16.4) normal aralikta,1,1
2026-07-27T12:00:38.753157+00:00,21.02,18.71,RISING,NO_CHANGE,Ortalama CPU (18.7) normal aralikta,1,1
2026-07-27T12:01:10.350209+00:00,43.04,28.36,RISING,NO_CHANGE,Ortalama CPU (28.4) normal aralikta,1,1
2026-07-27T12:01:41.863193+00:00,43.04,35.7,RISING,NO_CHANGE,Ortalama CPU (35.7) normal aralikta,1,1
2026-07-27T12:02:13.461805+00:00,60.71,48.93,RISING,NO_CHANGE,Ortalama CPU (48.9) normal aralikta,1,1
2026-07-27T12:02:44.950349+00:00,57.13,53.63,RISING,NO_CHANGE,Ortalama CPU (53.6) normal aralikta,1,1
2026-07-27T12:03:16.512359+00:00,64.42,60.75,RISING,NO_CHANGE,Ortalama CPU (60.8) normal aralikta,1,1
2026-07-27T12:03:48.469444+00:00,71.95,64.5,RISING,NO_CHANGE,Ortalama CPU (64.5) normal aralikta,1,1
2026-07-27T12:04:21.115734+00:00,78.76,71.71,RISING,SCALE_UP,Ortalama CPU (71.7) esik degerini (70) asti,1,2
2026-07-27T12:04:52.843723+00:00,74.01,74.91,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 147sn",2,2
2026-07-27T12:05:24.851749+00:00,71.57,74.78,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 115sn",2,2
2026-07-27T12:05:56.661543+00:00,65.63,70.41,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",2,2
2026-07-27T12:06:28.584281+00:00,61.34,66.18,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 52sn",2,2
2026-07-27T12:07:00.259418+00:00,41.72,56.23,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 20sn",2,2
2026-07-27T12:07:32.034388+00:00,40.07,47.71,FALLING,NO_CHANGE,Ortalama CPU (47.7) normal aralikta,2,2
2026-07-27T12:08:03.838399+00:00,18.63,33.47,FALLING,NO_CHANGE,Ortalama CPU (33.5) normal aralikta,2,2
2026-07-27T12:08:35.931933+00:00,18.63,25.78,FALLING,NO_CHANGE,Ortalama CPU (25.8) normal aralikta,2,2
2026-07-27T12:09:08.248571+00:00,7.72,14.99,FALLING,SCALE_DOWN,Ortalama CPU (15.0) esik degerinin (20) altinda ve yukselme trendi yok,2,1
2026-07-27T12:09:39.954017+00:00,7.72,11.36,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",1,1
2026-07-27T12:10:11.752435+00:00,1.44,5.63,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",1,1
2026-07-27T12:10:43.610168+00:00,1.44,3.53,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",1,1
2026-07-27T12:11:15.473188+00:00,0.99,1.29,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 52sn",1,1
2026-07-27T12:11:47.310140+00:00,0.92,1.12,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 20sn",1,1
2026-07-27T12:12:19.653957+00:00,0.86,0.93,FALLING,SCALE_DOWN,Ortalama CPU (0.9) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-27T12:12:51.485608+00:00,0.81,0.86,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",1,1
2026-07-27T12:13:23.292090+00:00,0.74,0.8,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",1,1
